 motorola one	 6.3" Screen	 Triple Camera	 4GB RAM	 3500mAh Battery
 vivo z1 pro	 6.53" Screen	 Triple Camera	 4GB RAM	 5000mAh Battery
 redmi note 7 pro	 6.3" Screen	 Dual Camera	 4GB RAM	 4000mAh Battery
 realme c2	 6.1" Screen	 Dual Camera	 2GB RAM	 4000mAh Battery
 realme c2	 6.1" Screen	 Dual Camera	 2GB RAM	 4000mAh Battery
 realme c2	 6.1" Screen	 Dual Camera	 3GB RAM	 4000mAh Battery
 redmi note 7s	 6.3" Screen	 Dual Camera	 3GB RAM	 4000mAh Battery
 samsung galaxy a50	 6.4" Screen	 Triple Camera	 4GB RAM	 4000mAh Battery
 realme 3 pro	 6.3" Screen	 Dual Camera	 4GB RAM	 4045mAh Battery
 realme 3	 6.2" Screen	 Dual Camera	 3GB RAM	 4230mAh Battery
 vivo s1	 6.38" Screen	 Triple Camera	 4GB RAM	 4500mAh Battery
 redmi note 7 pro	 6.3" Screen	 Dual Camera	 6GB RAM	 4000mAh Battery
 redmi note 8 pro	 6.53" Screen	 Quad Camera	 6GB RAM	 4500mAh Battery
 realme 5 pro	 6.3" Screen	 Quad Camera	 4GB RAM	 4035mAh Battery
 samsung galaxy	 6.3" Screen	 Triple Camera	 6GB RAM	 3500mAh Battery
 realme 3i	 6.22" Screen	 Dual Camera	 3GB RAM	 4230mAh Battery
 jio phone 3	 5" Screen	 5 MP Camera	 2GB RAM	 2800mAh Battery
 samsung galaxy m20	 6.3" Screen	 Dual Camera	 3GB RAM	 5000mAh Battery
 samsung galaxy m30	 6.4" Screen	 Triple Camera	 4GB RAM	 5000mAh Battery
 redmi k20 pro	 6.39" Screen	 Triple Camera	 6GB RAM	 4000mAh Battery
 redmi 6a	 5.45" Screen	 13 MP Camera	 2GB RAM	 3000mAh Battery
 realme x	 6.53" Screen	 Dual Camera	 4GB RAM	 3765mAh Battery
 redmi 7a	 5.45" Screen	 12 MP Camera	 2GB RAM	 4000mAh Battery
