Updated DB with rowEntry : RowEntry{mobileId=2545, sellerId=1, price=10960, availableStatus=1, mobileLink='https://www.amazon.in/Redmi-Comet-Blue-32GB-Storage/dp/B07QT54G6P/ref=sr_1_25?qid=1567241146&s=electronics&sr=1-25', newPrice=7499, newAvailableStatus=1}
Updated DB with rowEntry : RowEntry{mobileId=2585, sellerId=1, price=13999, availableStatus=1, mobileLink='https://www.amazon.in/Honor-Blue-4GB-64GB-Storage/dp/B07DJCVWDT/ref=sr_1_81?qid=1567245809&s=electronics&smid=A14CZOWI0VEHLG&sr=1-81', newPrice=11999, newAvailableStatus=1}
Updated DB with rowEntry : RowEntry{mobileId=2586, sellerId=1, price=5870, availableStatus=1, mobileLink='https://www.amazon.in/Lenovo-A5-Black-32-RAM/dp/B07PG9HTB1/ref=sr_1_85?qid=1567245809&s=electronics&sr=1-85', newPrice=5868, newAvailableStatus=1}
Updated DB with rowEntry : RowEntry{mobileId=2589, sellerId=1, price=12338, availableStatus=1, mobileLink='https://www.amazon.in/Mi-Redmi-Note-7S-Sapphire/dp/B07S7DMG1R/ref=sr_1_92?qid=1567245809&s=electronics&sr=1-92', newPrice=12335, newAvailableStatus=1}
Updated DB with rowEntry : RowEntry{mobileId=2590, sellerId=1, price=12999, availableStatus=1, mobileLink='https://www.amazon.in/Redmi-Note-Pro-Black-Storage/dp/B07M5XR1PJ/ref=sr_1_93?qid=1567245809&s=electronics&sr=1-93', newPrice=13999, newAvailableStatus=1}
Updated DB with rowEntry : RowEntry{mobileId=2591, sellerId=1, price=17679, availableStatus=1, mobileLink='https://www.amazon.in/Realme-Nitro-Blue-128GB-Storage/dp/B07R5W54M2/ref=sr_1_94?qid=1567245809&s=electronics&sr=1-94', newPrice=16979, newAvailableStatus=1}
Updated DB with rowEntry : RowEntry{mobileId=2593, sellerId=1, price=12999, availableStatus=1, mobileLink='https://www.amazon.in/Honor-Phantom-Blue-128GB-Storage/dp/B07VDRGCHN/ref=sr_1_97?qid=1567245812&s=electronics&sr=1-97', newPrice=13949, newAvailableStatus=1}
Updated DB with rowEntry : RowEntry{mobileId=2594, sellerId=1, price=10990, availableStatus=1, mobileLink='https://www.amazon.in/Redmi-Note-Pro-64GB-Gold/dp/B07CNLVQH6/ref=sr_1_99?qid=1567245812&s=electronics&sr=1-99', newPrice=11056, newAvailableStatus=1}
Updated DB with rowEntry : RowEntry{mobileId=2604, sellerId=1, price=16789, availableStatus=1, mobileLink='https://www.amazon.in/Samsung-Galaxy-Black-Storage-Offers/dp/B0756ZBZ5P/ref=sr_1_116?qid=1567245812&s=electronics&sr=1-116', newPrice=16700, newAvailableStatus=1}
Updated DB with rowEntry : RowEntry{mobileId=2606, sellerId=1, price=12999, availableStatus=1, mobileLink='https://www.amazon.in/Mi-A2-Red-128GB-Storage/dp/B07DJD1CBT/ref=sr_1_123?qid=1567245815&s=electronics&sr=1-123', newPrice=15999, newAvailableStatus=1}
Updated DB with rowEntry : RowEntry{mobileId=2607, sellerId=1, price=12000, availableStatus=1, mobileLink='https://www.amazon.in/Xiaomi-Redmi-Note-Pro-Storage/dp/B07BJZJWBK/ref=sr_1_124?qid=1567245815&s=electronics&sr=1-124', newPrice=12400, newAvailableStatus=1}
Updated DB with rowEntry : RowEntry{mobileId=2608, sellerId=1, price=11999, availableStatus=1, mobileLink='https://www.amazon.in/Moto-G6-Plus-Indigo-Black/dp/B077Q44DKF/ref=sr_1_125?qid=1567245815&s=electronics&sr=1-125', newPrice=11799, newAvailableStatus=1}
Updated DB with rowEntry : RowEntry{mobileId=2609, sellerId=1, price=8604, availableStatus=1, mobileLink='https://www.amazon.in/Redmi-Blue-4GB-64GB-Storage/dp/B077PW9V44/ref=sr_1_129?qid=1567245815&s=electronics&sr=1-129', newPrice=8799, newAvailableStatus=1}
Updated DB with rowEntry : RowEntry{mobileId=2618, sellerId=1, price=8470, availableStatus=1, mobileLink='https://www.amazon.in/Redmi-Black-3GB-32GB-Storage/dp/B077Q7F7Z3/ref=sr_1_152?qid=1567245818&s=electronics&sr=1-152', newPrice=8490, newAvailableStatus=1}
Updated DB with rowEntry : RowEntry{mobileId=2619, sellerId=1, price=14634, availableStatus=1, mobileLink='https://www.amazon.in/Xiaomi-Redmi-Note-Pro-Neptune/dp/B07PFSZ721/ref=sr_1_157?qid=1567245818&s=electronics&sr=1-157', newPrice=14635, newAvailableStatus=1}
Updated DB with rowEntry : RowEntry{mobileId=2620, sellerId=1, price=14699, availableStatus=1, mobileLink='https://www.amazon.in/Note-Pro-Space-Black-64GB/dp/B07VWXLRRH/ref=sr_1_158?qid=1567245818&s=electronics&sr=1-158', newPrice=14590, newAvailableStatus=1}
Updated DB with rowEntry : RowEntry{mobileId=2627, sellerId=1, price=9684, availableStatus=1, mobileLink='https://www.amazon.in/Nokia-6-1-Blue-Gold-64GB-Storage/dp/B077PWJP92/ref=sr_1_175?qid=1567245821&s=electronics&sr=1-175', newPrice=9900, newAvailableStatus=1}
Updated DB with rowEntry : RowEntry{mobileId=2628, sellerId=1, price=16273, availableStatus=1, mobileLink='https://www.amazon.in/Test-Exclusive-521/dp/B077Q42J32/ref=sr_1_176?qid=1567245821&s=electronics&sr=1-176', newPrice=16799, newAvailableStatus=1}
Updated DB with rowEntry : RowEntry{mobileId=2632, sellerId=1, price=15999, availableStatus=1, mobileLink='https://www.amazon.in/Honor-Navy-Blue-64GB-Storage/dp/B07DJHV73D/ref=sr_1_183?qid=1567245821&s=electronics&smid=A14CZOWI0VEHLG&sr=1-183', newPrice=12999, newAvailableStatus=1}
Updated DB with rowEntry : RowEntry{mobileId=2634, sellerId=1, price=10732, availableStatus=1, mobileLink='https://www.amazon.in/Realme-Radiant-Blue-64GB-Storage/dp/B07R993MWY/ref=sr_1_187?qid=1567245821&s=electronics&sr=1-187', newPrice=10800, newAvailableStatus=1}
Updated DB with rowEntry : RowEntry{mobileId=2635, sellerId=1, price=6657, availableStatus=1, mobileLink='https://www.amazon.in/Lenovo-K9-Black-32-RAM/dp/B07LBNYTBM/ref=sr_1_189?qid=1567245821&s=electronics&sr=1-189', newPrice=6675, newAvailableStatus=1}
Updated DB with rowEntry : RowEntry{mobileId=2636, sellerId=1, price=63990, availableStatus=1, mobileLink='https://www.amazon.in/Huawei-Breathing-Crystal-256GB-Storage/dp/B07PPVCBZS/ref=sr_1_192?qid=1567245821&s=electronics&smid=A14CZOWI0VEHLG&sr=1-192', newPrice=71990, newAvailableStatus=1}
Updated DB with rowEntry : RowEntry{mobileId=2639, sellerId=1, price=17888, availableStatus=1, mobileLink='https://www.amazon.in/Realme-Space-Blue-128-4GB/dp/B07W184FS2/ref=sr_1_198?qid=1567245824&s=electronics&sr=1-198', newPrice=17998, newAvailableStatus=1}
Updated DB with rowEntry : RowEntry{mobileId=2640, sellerId=1, price=8199, availableStatus=1, mobileLink='https://www.amazon.in/Redmi-Gold-3GB-64GB-Storage/dp/B07R7GR49F/ref=sr_1_199?qid=1567245824&s=electronics&sr=1-199', newPrice=7999, newAvailableStatus=1}
Updated DB with rowEntry : RowEntry{mobileId=2642, sellerId=1, price=7999, availableStatus=1, mobileLink='https://www.amazon.in/LG-Tulip-Purple-32GB-Storage/dp/B07S8H8BWQ/ref=sr_1_204?qid=1567245824&s=electronics&sr=1-204', newPrice=8499, newAvailableStatus=1}
Updated DB with rowEntry : RowEntry{mobileId=2644, sellerId=1, price=11980, availableStatus=1, mobileLink='https://www.amazon.in/Motorola-Moto-Black-64GB-Storage/dp/B07PZZLR4D/ref=sr_1_212?qid=1567245824&s=electronics&sr=1-212', newPrice=12400, newAvailableStatus=1}
Updated DB with rowEntry : RowEntry{mobileId=2645, sellerId=1, price=4799, availableStatus=1, mobileLink='https://www.amazon.in/XOLO-4X-Black-16GB-Storage/dp/B07MDC4GBN/ref=sr_1_213?qid=1567245824&s=electronics&sr=1-213', newPrice=4699, newAvailableStatus=1}
Updated DB with rowEntry : RowEntry{mobileId=2648, sellerId=1, price=15999, availableStatus=1, mobileLink='https://www.amazon.in/Honor-8X-128GB-Navy-Blue/dp/B07DJ8GV1C/ref=sr_1_226?qid=1567246532&s=electronics&sr=1-226', newPrice=13999, newAvailableStatus=1}
Updated DB with rowEntry : RowEntry{mobileId=2650, sellerId=1, price=17990, availableStatus=1, mobileLink='https://www.amazon.in/Huawei-Lite-Peacock-128GB-Storage/dp/B07PT145YT/ref=sr_1_232?qid=1567246532&s=electronics&smid=A14CZOWI0VEHLG&sr=1-232', newPrice=18990, newAvailableStatus=1}
Updated DB with rowEntry : RowEntry{mobileId=2654, sellerId=1, price=8499, availableStatus=1, mobileLink='https://www.amazon.in/Moto-Indigo-Black-32GB-Storage/dp/B077PW9V3L/ref=sr_1_236?qid=1567246532&s=electronics&sr=1-236', newPrice=8618, newAvailableStatus=1}
Updated DB with rowEntry : RowEntry{mobileId=2655, sellerId=1, price=7988, availableStatus=1, mobileLink='https://www.amazon.in/LENOVO-K9-Note-64-Black/dp/B07RNDHMLT/ref=sr_1_237?qid=1567246532&s=electronics&sr=1-237', newPrice=7959, newAvailableStatus=1}
Updated DB with rowEntry : RowEntry{mobileId=2656, sellerId=1, price=5397, availableStatus=1, mobileLink='https://www.amazon.in/Micromax-Canvas-Infinity-18-9/dp/B075NKHHBV/ref=sr_1_238?qid=1567246532&s=electronics&sr=1-238', newPrice=5799, newAvailableStatus=1}
Updated DB with rowEntry : RowEntry{mobileId=2660, sellerId=1, price=7399, availableStatus=1, mobileLink='https://www.amazon.in/Micromax-Infinity-Blue-Lagoon-Storage/dp/B07ML6CPNK/ref=sr_1_252?qid=1567246536&s=electronics&sr=1-252', newPrice=6975, newAvailableStatus=1}
Updated DB with rowEntry : RowEntry{mobileId=2663, sellerId=1, price=6900, availableStatus=1, mobileLink='https://www.amazon.in/Motorola-Plus-Iron-Gray-32GB/dp/B073YY7YCG/ref=sr_1_256?qid=1567246536&s=electronics&sr=1-256', newPrice=7075, newAvailableStatus=1}
Updated DB with rowEntry : RowEntry{mobileId=2664, sellerId=1, price=18566, availableStatus=1, mobileLink='https://www.amazon.in/Note-Pro-Space-Black-128GB/dp/B07VVRR848/ref=sr_1_257?qid=1567246536&s=electronics&sr=1-257', newPrice=17999, newAvailableStatus=1}
