Day	Ad_Clicks	Revenue	Unaudited_Revenue	Net_Bid	ratio test
13-05-2019	6363	6310.139069	6170.535406	7713.660171	0.818047325
14-05-2019	5047	4960.870089	5024.218246	6051.562666	0.819766788	4950.464651
15-05-2019	5941	4997.38073	5605.30646	6544.187163	0.763636584	5364.707291
16-05-2019	5542	4729.100009	5007.863482	6109.690073	0.774032717	4665.582857
17-05-2019	5472	4488.688343	5040.845803	6240.030382	0.719337578	4829.987672
18-05-2019	6467	5556.993911	5173.021119	6550.744684	0.848299572	4712.196816
19-05-2019	6615	5282.583152	6629.83106	7863.442492	0.671790142	6670.554899
20-05-2019	5223	4503.804141	4763.774319	5916.963879	0.761168098	3974.958007
21-05-2019	4779	3677.402511	3952.561564	5076.909988	0.724338726	3864.381919
22-05-2019	3702	3130.564636	3443.419871	4344.326789	0.720609841	3146.764129
23-05-2019	3506	3252.596569	3331.49482	4177.887303	0.778526641	3010.626705
24-05-2019	3342	3289.921125	3249.282811	4136.145195	0.795407552	3220.099226
25-05-2019	3615	3613.468822	3982.984912	4652.029882	0.776750991	3700.2597
26-05-2019	3637	3774.006661	4408.427257	5112.180571	0.738238137	3970.891326
27-05-2019	4056	3772.955034	4706.315821	5466.749192	0.690164283	4035.762739
28-05-2019	4267	3876.851197	4446.093338	5496.139288	0.705377174	3793.239029
29-05-2019	4431	3962.387839	3695.833463	4922.573783	0.804942295	3472.271183
30-05-2019	3531	3295.736725	3322.868836	4144.479387	0.795211272	3336.066749
31-05-2019	3792	2825.599831	4221.846215	4681.302584	0.60359265	3722.624582
01-06-2019	3654	2748.52616	2908.089909	3746.453397	0.733634152	2261.331733
02-06-2019	3828	2702.478588	2373.736279	3727.968995	0.724919813	2734.965371
03-06-2019	3337	2391.845203	2218.485152	3162.892695	0.756220787	2292.843582
04-06-2019	3899	2822.42351	3304.645942	4493.886685	0.628058451	3398.370526
05-06-2019	4403	2992.296273	2737.323892	3841.535893	0.77893227	2412.709082
06-06-2019	1381	781.2609137	670.2666922	1022.003999	0.764440173	796.0718953
